mpg,cylinders,displacement,weight,acceleration,model_year
0.239361702,1,0.617571059,0.536149702,0.238095238,0
0.159574468,1,0.728682171,0.58973632,0.208333333,0
0.239361702,1,0.645994832,0.516869861,0.178571429,0
0.186170213,1,0.609819121,0.51601928,0.238095238,0
0.212765957,0.2,0.604651163,0.520555713,0.148809524,0
0.159574468,1,0.932816537,0.773461866,0.119047619,0
0.132978723,1,0.997416021,0.335837823,0.05952381,0
0.132978723,1,0.96124031,0.76523958,0.029761905,0
0.132978723,1,1,0.79727814,0.119047619,0
0.159574468,1,0.832041344,0.634250071,0.029761905,0
0.159574468,1,0.813953488,0.5528778,0.119047619,0
0.132978723,1,0.702842377,0.565920045,0,0
0.159574468,0.2,0.857881137,0.609016161,0.089285714,0
0.132978723,1,1,0.417635384,0.119047619,0
0.39893617,0.2,0.11627907,0.215197051,0.416666667,0
0.345744681,0.6,0.335917313,0.345903034,0.446428571,0
0.239361702,0.6,0.338501292,0.329174936,0.446428571,0
0.319148936,0.6,0.341085271,0.276155373,0.476190476,0
0.478723404,0.2,0.074935401,0.146583499,0.386904762,0
0.45212766,0.2,0.074935401,0.062943011,0.744047619,0
0.425531915,0.2,0.108527132,0.300255174,0.56547619,0
0.39893617,0.2,0.100775194,0.231641622,0.386904762,0
0.425531915,0.2,0.093023256,0.216047633,0.56547619,0
0.45212766,0.2,0.136950904,0.176070315,0.446428571,0
0.319148936,0.6,0.338501292,0.293450525,0.416666667,0
0.026595745,1,0.754521964,0.851148285,0.357142857,0
0.026595745,1,0.617571059,0.783385313,0.416666667,0
0.053191489,1,0.645994832,0.785086476,0.327380952,0
0,1,0.609819121,0.884320953,0.625,0
0.478723404,0.2,0.074935401,0.146583499,0.386904762,0.083333333
0.505319149,0.2,0.186046512,0.184576127,0.446428571,0.083333333
0.425531915,0.2,0.11627907,0.174369152,0.357142857,0.083333333
0.425531915,0.2,0.07751938,0.122767224,0.654761905,0.083333333
0.265957447,0.6,0.42377261,0.289481145,0.297619048,0.083333333
0.186170213,0.6,0.405684755,0.517720442,0.446428571,0.083333333
0.212765957,0.6,0.470284238,0.486532464,0.446428571,0.083333333
0.265957447,0.6,0.470284238,0.478877233,0.446428571,0.083333333
0.239361702,0.6,0.42377261,0.474907854,0.446428571,0.083333333
0.132978723,1,0.728682171,0.736036291,0.238095238,0.083333333
0.132978723,1,0.857881137,0.808335696,0.208333333,0.083333333
0.132978723,1,0.73126615,0.720442302,0.327380952,0.083333333
0.132978723,1,0.645994832,0.703997732,0.297619048,0.083333333
0.079787234,1,0.813953488,0.947547491,0.208333333,0.083333333
0.106382979,1,0.857881137,0.888290332,0.238095238,0.083333333
0.106382979,1,0.857881137,1,0.238095238,0.083333333
0.239361702,0.6,0.490956072,0.382478027,0.327380952,0.083333333
0.345744681,0.2,0.186046512,0.225404026,0.654761905,0.083333333
0.265957447,0.6,0.470284238,0.473206691,0.416666667,0.083333333
0.239361702,0.6,0.470284238,0.432662319,0.386904762,0.083333333
0.372340426,0.2,0.139534884,0.172100936,0.357142857,0.083333333
0.505319149,0.2,0.124031008,0.144598809,0.357142857,0.083333333
0.558510638,0.2,0.028423773,0.130705982,0.68452381,0.083333333
0.558510638,0.2,0.051679587,0.128154239,0.386904762,0.083333333
0.585106383,0.2,0.007751938,0.045364332,0.654761905,0.083333333
0.691489362,0.2,0.010335917,0,0.595238095,0.083333333
0.478723404,0.2,0.074935401,0.062659484,0.654761905,0.083333333
0.45212766,0.2,0.059431525,0.09696626,0.744047619,0.083333333
0.39893617,0.2,0.11627907,0.188545506,0.446428571,0.166666667
0.425531915,0.2,0.07622739,0.14544939,0.535714286,0.166666667
0.372340426,0.2,0.074935401,0.181740856,0.922619048,0.166666667
0.292553191,0.2,0.186046512,0.225404026,0.68452381,0.166666667
0.319148936,0.2,0.139534884,0.173802098,0.505952381,0.166666667
0.106382979,1,0.728682171,0.754465551,0.238095238,0.166666667
0.132978723,1,0.857881137,0.785937057,0.238095238,0.166666667
0.159574468,1,0.645994832,0.715055288,0.327380952,0.166666667
0.132978723,1,0.73126615,0.713354125,0.297619048,0.166666667
0.212765957,1,0.609819121,0.583782251,0.208333333,0.166666667
0.053191489,1,0.932816537,0.856251772,0.178571429,0.166666667
0.106382979,1,0.728682171,0.819109725,0.327380952,0.166666667
0.079787234,1,0.728682171,0.806067479,0.327380952,0.166666667
0.106382979,1,0.857881137,0.796427559,0.267857143,0.166666667
0.265957447,0,0.005167959,0.203288914,0.327380952,0.166666667
0.159574468,1,0.609819121,0.646158208,0.267857143,0.166666667
0.106382979,1,0.617571059,0.704564786,0.357142857,0.166666667
0.106382979,1,0.604651163,0.760136093,0.476190476,0.166666667
0.132978723,1,0.645994832,0.698610717,0.357142857,0.166666667
0.239361702,0.2,0.136950904,0.374255741,0.386904762,0.166666667
0.345744681,0.2,0.136950904,0.254607315,0.595238095,0.166666667
0.319148936,0.2,0.134366925,0.387297987,0.68452381,0.166666667
0.45212766,0.2,0.072351421,0.163311596,0.595238095,0.166666667
0.345744681,0.2,0.139534884,0.221718174,0.476190476,0.166666667
0.505319149,0.2,0.074935401,0.191380777,0.535714286,0.166666667
0.372340426,0.2,0.134366925,0.25318968,0.386904762,0.166666667
0.505319149,0.2,0.07751938,0.156223419,0.416666667,0.166666667
0.478723404,0.2,0.074935401,0.138077686,0.505952381,0.166666667
0.106382979,1,0.728682171,0.70513184,0.297619048,0.25
0.132978723,1,0.609819121,0.583782251,0.208333333,0.25
0.106382979,1,0.728682171,0.673376807,0.297619048,0.25
0.132978723,1,0.604651163,0.68868727,0.386904762,0.25
0.159574468,1,0.645994832,0.613552594,0.267857143,0.25
0.079787234,1,0.932816537,0.94669691,0.208333333,0.25
0.106382979,1,0.857881137,0.808335696,0.238095238,0.25
